verde, green
la profesión, profession
el estómago, stomach
el político, politician
llevar, to wear
cuando, when
por, because of
aprender, to learn
creer, to believe
entonces, then
desde, from
caminar, to walk
despertarse, to wake up
ayudar, to help
viejo, old
vender, to sell
morir, to die
la hija, daughter
recordar, to remember
amable, kind
el hotel, hotel
el desayuno, breakfast
el perro, dog
dibujar, to draw
caerse, to fall
el hospital, hospital
el hombre, man
el tío, uncle
el traje, suit
el vestido, dress
el espejo, mirror
el comedor, dining room
el cuello, neck
por qué, why
el regalo, present
de repente, suddenly
el helado, ice cream
el periódico, newspaper
antipático, unfriendly
la pared, wall
sucio, dirty
el aceite, oil
el jefe, boss
la manzana, apple
explicar, to explain
la pantalla, screen
el animal, animal
el gato, cat
el camarero, waiter
la selva, jungle
la entrevista, interview
la chica, girl
la guerra, war
la naranja, orange
ninguno, no
el desarrollo, development
la costumbre, custom
limpio, clean
la fiesta, party
el queso, cheese
la gripe, flu
el dependiente, salesclerk
la toalla, towel
la flor, flower
picante, hot
pasar la aspiradora, to vacuum
la familia, family
debajo de, under
la ensalada, salad
la farmacia, pharmacy
la pastilla, pill
la tía, aunt
la verdura, vegetable
la tecnología, technology
la cafetería, café
dar, to give
traer, to bring
para, for
abrir, to open
llamar, to call
enseñar, to teach
quedarse, to stay
hasta, until
recibir, to receive
enviar, to send
recoger, to pick up
en, in
sin embargo, however
desear, to want
romper, to break
cambiar, to change
apagar, to turn off
fuerte, strong
alegre, happy
delgado, thin
el hijo, son
la red, network
casarse, to get married
barato, cheap
el abrigo, coat
el piso, floor
la camisa, shirt
esquiar, to ski
peinarse, to comb one's hair
dormirse, to fall asleep
la maleta, suitcase
o, or
la ventana, window
durante, during
nuevo, new
el cuerpo, body
la corbata, tie
el barco, boat
el pájaro, bird
la canción, song
el maestro, teacher
el jabón, soap
solicitar, to request
el sillón, armchair
sano, healthy
la tos, cough
la plaza, square
el baloncesto, basketball
pasarlo bien, to have a good time
el chico, kid
el examen, exam
detrás de, behind
el autobús, bus
el cocinero, cook
hacer ejercicio, to exercise
la seguridad, safety
la botella, bottle
la universidad, university
el aeropuerto, airport
responsable, responsible
la oficina, office
hacer la cama, to make the bed
el mecánico, mechanic
el champú, shampoo
la excursión, excursion
moderno, modern
el/la artista, artist
la hamburguesa, hamburger
las gafas de sol, sunglasses
la literatura, literature
el monumento, monument
la comedia, comedy
el secretario, secretary
el público, audience
la tarjeta de crédito, credit card
el cajero automático, ATM
¡Hola, hello
entender, to understand
el número, number
cero, zero
uno, one
dos, two
tres, three
cuatro, four
cinco, five
seis, six
siete, seven
ocho, eight
nueve, nine
diez, ten
once, eleven
doce, twelve
trece, thirteen
catorce, fourteen
quince, fifteen
dieciséis, sixteen
diecisiete, seventeen
dieciocho, eighteen
diecinueve, nineteen
veinte, twenty
escuchar, to listen to
conducir, to drive
cerrar, to close
servir, to serve
comenzar, to begin
lo siento, i'm sorry
pasear, to go for a walk
el amor, love
contestar, to answer
cansado, tired
olvidar, to forget
nada, nothing
visitar, to visit
la sala, living room
solo, alone
el corazón, heart
manejar, to drive
repetir, to repeat
irse, to leave
el cuaderno, notebook
el primo, cousin
patinar, to skate
la prueba, test
el viaje, trip
afeitarse, to shave
la cita, appointment
practicar, to practice
quién, who
menos, less
el baño, bathroom
la tierra, land
la vida, life
el cereal, cereal
corto, short
la sobrina, niece
el dueño, owner
el/la azúcar, sugar
el avión, plane
la llave, key
la alfombra, rug
la amistad, friendship
la sopa, soup
la cebolla, onion
la mantequilla, butter
la gorra, cap
el sueldo, salary
la piedra, stone
veintiuno, twenty-one
veintidós, twenty-two
veintitrés, twenty-three
veinticuatro, twenty-four
veinticinco, twenty-five
veintiséis, twenty-six
veintisiete, twenty-seven
veintiocho, twenty-eight
veintinueve, twenty-nine
treinta, thirty
cuarenta, forty
cincuenta, fifty
sesenta, sixty
setenta, seventy
ochenta, eighty
noventa, ninety
cien, one hundred
el pelo, hair
feliz, happy
guardar, to save
poco, little
enojado, angry
llenar, to fill
el reloj, watch
cruzar, to cross
gordo, fat
preparar, to prepare
peor, worse
la habitación, room
desarrollar, to develop
el caballo, horse
la basura, trash
el correo, mail
el ruido, noise
el nieto, grandson
el paisaje, landscape
pobre, poor
la esposa, wife
lento, slow
el pasillo, hall
la cosa, thing
la revista, magazine
el esposo, husband
nevar, to snow
la cuchara, spoon
la estufa, stove
odiar, to hate
regatear, to bargain
grabar, to record
sorprender, to surprise
cerca de, close to
antes de, before
no, no
sí, yes
el pavo, turkey
pesado, heavy
cada, each
mi, my
todo, all
allí, there
cerca, close
lejos, far
tanto, so much
tan, so
haber, to have
mucho gusto, nice to meet you
feliz cumpleaños, happy birthday
aunque, even though
mientras, while
si, if
y, and
pues, well
parecer, to seem
almorzar, to have lunch
disfrutar, to enjoy
bajar, to go down
asistir, to attend
caer, to fall
caber, to fit
reír, to laugh
el miedo, fear
la pizza, pizza
el chocolate, chocolate
la verdad, truth
el puesto, position
la voz, voice
el sonido, sound
traductor, translator
la pronunciación, pronunciation
el cuarto, room
el doctor, doctor
el tiempo, weather
según, according to
de, from
de, of
quejarse, to complain
contigo, with you
quien, who
sentarse, to sit
temprano, early
pasar, to pass
es, is
traducir, to translate
ganar, to earn
limpiar, to clean
pasar, to happen
tratar, to treat
escoger, to choose
devolver, to return
parar, to stop
echar, to throw
sentir, to feel
quitar, to take away
entregar, to turn in
acabar, to finish
alcanzar, to reach
de nada, you're welcome
por favor, please
las cosas, things
ordenar, to order
la prisa, hurry
arriba, up
la idea, idea
¡Oye, Hey
el mango, mango
la ola, wave
el deseo, wish
la cola, tail
acercarse, to approach
el conejo, rabbit
ambos, both
golpear, to hit
el propósito, purpose
perdido, lost
la lista, list
la China, china
fingir, to pretend
el palo, stick
rezar, to pray
legal, legal
animar, to encourage
asustado, scared
la siesta, nap
soso, bland
el cordero, lamb
la cosecha, harvest
el cajón, drawer
morder, to bite
la traducción, translation
perseguir, to pursue
exigente, demanding
cualquiera, any
el pedazo, piece
empujar, to push
el tesoro, treasure
común, common
el bolsillo, pocket
la disculpa, apology
asombroso, amazing
mojado, wet
el favor, favor
coser, to sew
Australia, Australia
el tocino, bacon
ciego, blind
el sustantivo, noun
estados unidos, united states
el coco, coconut
el alemán, german
el dedo, finger
los hijos, children
celebrar, to celebrate
callado, silent
dañar, to damage
la oreja, ear
saludable, healthy
el equipaje, luggage
raro, weird
el alojamiento, accommodations
durar, to last
el gobierno, government
el ascensor, elevator
dejar de, to stop
sociable, sociable
la lavadora, washing machine
el teclado, keyboard
la tormenta, storm
las noticias, news
el sendero, path
ordenado, tidy
el sur, south
poner la mesa, to set the table
el conductor, driver
insistir, to insist
el atún, tuna
la computadora, the computer
el programa, program
la planta, plant
el vendedor, salesperson
sacar la basura, to take out the trash
el canal, channel
un, a
el pasatiempo, hobby
la oferta, offer
la pobreza, poverty
la libertad, freedom
el destino, destination
delicioso, delicious
animado, lively
el anfitrión, host
por la mañana, in the morning
el garaje, garage
impaciente, impatient
investigar, to investigate
la novela, novel
el/la guía, guide
la obra de teatro, play
después de, after
el/la dentista, dentist
practicar deportes, to play sports
la calculadora, calculator
el huracán, hurricane
la fábrica, factory
la arquitectura, architecture
el transporte, transportation
romántico, romantic
clásico, classical
el menú, menu
que, that
esperar, to hope
subir, to go up
andar, to walk
mandar, to send
el este, east
cómo, how
mostrar, to show
aquí, here
lavar, to wash
encantar, to love
prestar, to lend
arreglar, to fix
la palabra, word
ojalá, hopefully
comprender, to understand
preguntar, to ask
evitar, to avoid
cortar, to cut
la carta, letter
el reloj, clock
más, more
yo, I
tú, you
él, he
ella, she
usted, you
nosotros, week
vosotras, you all
ellos, they
tú, you
a, to
